author,tags,text
Steve Martin,"humor,obvious,simile","A day without sunshine is like, you know, night."
Allen Saunders,"fate,life,misattributed-john-lennon,planning,plans",Life is what happens to us while we are making other plans.
Bob Marley,music,"One good thing about music, when it hits you, you feel no pain."
George Eliot,inspirational,It is never too late to be what you might have been.
James Baldwin,love,"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up."
George Bernard Shaw,"inspirational,life,yourself",Life isn't about finding yourself. Life is about creating yourself.
Dr. Seuss,troubles,I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!
Mark Twain,"books,classic,reading",′Classic′ - a book which people praise and don't read.
C.S. Lewis,"christianity,faith,religion,sun","I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else."
George R.R. Martin,"books,mind","... a mind needs books as a sword needs a whetstone, if it is to keep its edge."
